first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;589;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;153;318;;;;;;;;;;;;;;doesn't say;;01.07.2009;10508;31.07.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;590;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;125;269;;;;;;;;;;;;;;doesn't say;;01.08.2009;10508;31.08.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;591;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;125;263;;;;;;;;;;;;;;doesn't say;;01.09.2009;10508;30.09.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;592;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;122;260;;;;;;;;;;;;;;doesn't say;;01.10.2009;10508;31.10.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;593;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;128;281;;;;;;;;;;;;;;doesn't say;;01.11.2009;10508;30.11.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;594;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;119;339;;;;;;;;;;;;;;doesn't say;;01.12.2009;10508;31.12.2009;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;4.029;7.618;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;595;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;128;458;;;;;;;;;;;;;;doesn't say;;01.01.2010;10581;31.01.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;596;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;128;391;;;;;;;;;;;;;;doesn't say;;01.02.2010;10581;28.02.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;597;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;165;397;;;;;;;;;;;;;;doesn't say;;01.03.2010;10581;31.03.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;598;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;128;376;;;;;;;;;;;;;;doesn't say;;01.04.2010;10581;30.04.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;599;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;147;427;;;;;;;;;;;;;;doesn't say;;01.05.2010;10581;31.05.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;600;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;86;339;;;;;;;;;;;;;;doesn't say;;01.06.2010;10581;30.06.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;601;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;104;275;;;;;;;;;;;;;;doesn't say;;01.07.2010;10581;31.07.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;602;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;140;315;;;;;;;;;;;;;;doesn't say;;01.08.2010;10581;31.08.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;603;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;119;311;;;;;;;;;;;;;;doesn't say;;01.09.2010;10581;30.09.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;604;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;119;232;;;;;;;;;;;;;;doesn't say;;01.10.2010;10581;31.10.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;605;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;134;223;;;;;;;;;;;;;;doesn't say;;01.11.2010;10581;30.11.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;606;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;119;269;;;;;;;;;;;;;;doesn't say;;01.12.2010;10581;31.12.2010;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;dry;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.422;5.32;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;607;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;131;391;;;;;;;;;;;;;;doesn't say;;01.01.2011;10709;31.01.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;608;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;147;415;;;;;;;;;;;;;;doesn't say;;01.02.2011;10709;28.02.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;609;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;183;357;;;;;;;;;;;;;;doesn't say;;01.03.2011;10709;31.03.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;610;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;223;449;;;;;;;;;;;;;;doesn't say;;01.04.2011;10709;30.04.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;611;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;174;342;;;;;;;;;;;;;;doesn't say;;01.05.2011;10709;31.05.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;612;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;113;214;;;;;;;;;;;;;;doesn't say;;01.06.2011;10709;30.06.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;613;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;70;147;;;;;;;;;;;;;;doesn't say;;01.07.2011;10709;31.07.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
Mitja, Oriol;34;55;Papua New Guinea, Lihir island;614;Malaria epidemiology in Lihir Island, Papua New Guinea;2013;WAHR;WAHR;Fever above 37.5 (or withing last 48h) and confirmed by LM;microscopy;58;134;;;;;;;;;;;;;;doesn't say;;01.08.2011;10709;31.08.2011;web plot digitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN 2nd round(one was done 6 years previous);;;;;;;;;in Lihir villages 36-89% of households with one net;;;;;;;;;01.01.2010;31.12.2010;;;;;;;;;;;;;;;;;FALSCH;just says which year;IRS done bi-annualy, vector breeding site reduction once a week if anophelines present;since 2005: AS and SP, in 2009: AL;;frequent;12;;0.2;wet;NA;;all ages;NA;yes, because different villages in the catchment area;no, dont think they adjusted for this, sued robust SE for things like age and year though;19;FALSCH;none found;-3.068952;152.626627;observational, cross sectional;3.254;4.29;low;;;;low;;;
